ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_1,CH/FPD/LINE/SIZE,3,450,14,TRUE,FALSE,,0,DN 450 (18 in.),DN 450 (18 in.),"18""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,500,15,TRUE,FALSE,,0,DN 500 (20 in.),DN 500 (20 in.),"20""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,550,16,TRUE,FALSE,,999999,DN 550 (22 in.),DN 550 (22 in.),"22""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,600,17,TRUE,FALSE,,0,DN 600 (24 in.),DN 600 (24 in.),"24""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,650,18,TRUE,FALSE,,999999,DN 650 (26 in.),DN 650 (26 in.),"26""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,700,19,TRUE,FALSE,,999999,DN 700 (28 in.),DN 700 (28 in.),"28""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,750,20,TRUE,FALSE,,999999,DN 750 (30 in.),DN 750 (30 in.),"30""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,800,21,TRUE,FALSE,,999999,DN 800 (32 in.),DN 800 (32 in.),"32""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,850,22,TRUE,FALSE,,999999,DN 850 (34 in.),DN 850 (34 in.),"34""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,900,23,TRUE,FALSE,,999999,DN 900 (36 in.),DN 900 (36 in.),"36""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,950,24,TRUE,FALSE,,999999,DN 950 (38 in.),DN 950 (38 in.),"38""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,001,25,TRUE,FALSE,,999999,DN 1000 (40 in.),DN 1000 (40 in.),"40""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,051,26,TRUE,FALSE,,999999,DN 1050 (42 in.),DN 1050 (42 in.),"42""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,101,27,TRUE,FALSE,,999999,DN 1100 (44 in.),DN 1100 (44 in.),"44""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,151,28,TRUE,FALSE,,999999,DN 1150 (46 in.),DN 1150 (46 in.),"46""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,201,29,TRUE,FALSE,,999999,DN 1200 (48 in.),DN 1200 (48 in.),"48""",,,,,,,,,,
FPD470_1,CH/FPD/LINE/SIZE,3,999,30,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S1,1,TRUE,FALSE,,999999,Schedule 5S,Schedule 5S,5S,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S2,2,TRUE,FALSE,,999999,Schedule 5,Schedule 5,5,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S3,3,TRUE,FALSE,,999999,Schedule 10S,Schedule 10S,10S,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S4,4,TRUE,FALSE,,999999,Schedule 10,Schedule 10,10,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S5,5,TRUE,FALSE,,999999,Schedule 20,Schedule 20,20,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S6,6,TRUE,FALSE,,999999,Schedule 30,Schedule 30,30,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S7,7,TRUE,FALSE,,999999,Schedule 40S,Schedule 40S,40S,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S8,8,TRUE,FALSE,,0,Schedule 40,Schedule 40,40,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,S9,9,TRUE,FALSE,CH/FPD/LINE/SIZE=040 OR CH/FPD/LINE/SIZE=050 OR CH/FPD/LINE/SIZE=065 OR CH/FPD/LINE/SIZE=080,999999,Schedule STD,Schedule STD,STD,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,T1,10,TRUE,FALSE,,999999,Schedule 60,Schedule 60,60,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,T2,11,TRUE,FALSE,,999999,Schedule 80S,Schedule 80S,80S,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,T3,12,TRUE,FALSE,,0,Schedule 80,Schedule 80,80,,,,,,,,,,
FPD470_1,CH/FPD/PIPE/SCH,4,T4,13,TRUE,FALSE,,999999,Schedule XS,Schedule XS,XS,,,,,,,,,,
